time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-14 00:00:00+00:00,0,0,2,2
2023-11-15 00:00:00+00:00,1,1,2,2
2023-11-16 00:00:00+00:00,1,1,1,1
2023-11-17 00:00:00+00:00,0,0,1,1
2023-11-18 00:00:00+00:00,0,0,7,7
2023-11-20 00:00:00+00:00,1,1,0,0
2023-11-21 00:00:00+00:00,0,0,7,4
2023-11-22 00:00:00+00:00,0,0,1,1
2023-11-25 00:00:00+00:00,2,1,2,2
2023-11-27 00:00:00+00:00,3,3,57,2
2023-11-28 00:00:00+00:00,4,4,0,0
2023-11-29 00:00:00+00:00,1,1,9,2
2023-11-30 00:00:00+00:00,1,1,3,1
2023-12-01 00:00:00+00:00,1,1,2,2
2023-12-02 00:00:00+00:00,1,1,0,0
2023-12-03 00:00:00+00:00,2,2,1,1
2023-12-04 00:00:00+00:00,3,3,14,1
2023-12-05 00:00:00+00:00,2,2,2,1
2023-12-06 00:00:00+00:00,1,1,0,0
2023-12-07 00:00:00+00:00,2,2,0,0
